Name,Rank,Number of Births,year
Emiliana,490,3,1974
Eveleen,490,3,1974
Evonne,490,3,1974
Gwendolen,490,3,1974
Janis,490,3,1974
Katrine,490,3,1974
Kelda,490,3,1974
Lavina,490,3,1974
Lyn,490,3,1974
Mariea,490,3,1974
Marlyn,490,3,1974
Patrica,490,3,1974
Soyna,490,3,1974
Susann,490,3,1974
Wilma,490,3,1974
Mary,1,1227,1975
Sinead,2,825,1975
Catherine,3,682,1975
Olivia,4,618,1975
Margaret,5,569,1975
Michelle,6,562,1975
Caroline,7,517,1975
Sharon,8,501,1975
Elizabeth,9,468,1975
Deirdre,10,464,1975
Elaine,11,460,1975
Fiona,12,451,1975
Jennifer,13,442,1975
Karen,14,435,1975
Ann,15,424,1975
Anne,16,413,1975
Linda,17,385,1975
Patricia,18,376,1975
Lisa,19,361,1975
Susan,20,359,1975
Siobhan,21,340,1975
Sandra,22,330,1975
Niamh,23,327,1975
Louise,24,320,1975
Sarah,25,314,1975
Lorraine,25,314,1975
Nicola,27,296,1975
Helen,28,288,1975
Yvonne,29,279,1975
Martina,30,268,1975
Maria,31,253,1975
Claire,32,251,1975
Orla,33,247,1975
Olive,34,239,1975
Denise,35,233,1975
Marie,36,227,1975
Gillian,36,227,1975
Emma,38,226,1975
Amanda,39,225,1975
Geraldine,40,216,1975
Bridget,41,213,1975
Rachel,42,210,1975
Aisling,43,209,1975
Laura,44,195,1975
Jacqueline,45,187,1975
Kathleen,46,186,1975
Carol,47,185,1975
Joanne,48,182,1975
Ciara,49,181,1975
Suzanne,50,175,1975
Eileen,50,175,1975
Ruth,52,173,1975
Deborah,53,170,1975
Paula,54,168,1975
Bernadette,55,162,1975
Aoife,56,157,1975
Clare,57,152,1975
Angela,58,151,1975
Mairead,59,150,1975
Alison,60,145,1975
Grainne,61,144,1975
Tara,62,142,1975
Edel,62,142,1975
Carmel,62,142,1975
Audrey,65,140,1975
Colette,65,140,1975
Anna,67,135,1975
Emer,68,134,1975
Teresa,69,130,1975
Valerie,70,129,1975
Barbara,71,128,1975
Jane,72,121,1975
Christina,72,121,1975
Tracey,74,117,1975
Sheila,75,114,1975
Josephine,76,113,1975
Tracy,77,110,1975
Julie,78,109,1975
Aine,79,107,1975
Nora,80,105,1975
Anita,81,102,1975
Clodagh,82,98,1975
Joan,83,97,1975
Shirley,83,97,1975
Roisin,85,96,1975
Helena,85,96,1975
Lorna,85,96,1975
Brenda,85,96,1975
Ellen,89,95,1975
Catriona,89,95,1975
Jean,91,92,1975
Samantha,92,90,1975
Noreen,93,89,1975
Evelyn,94,88,1975
Pauline,94,88,1975
Hazel,96,85,1975
Christine,96,85,1975
Una,98,84,1975
Tanya,98,84,1975
Brigid,100,83,1975
Georgina,101,82,1975
Majella,102,80,1975
Andrea,103,77,1975
Pamela,103,77,1975
Annette,103,77,1975
Victoria,106,75,1975
Natasha,106,75,1975
Vanessa,108,74,1975
Aileen,108,74,1975
Maeve,110,73,1975
Ashling,110,73,1975
Frances,112,71,1975
Lynn,113,69,1975
Sonya,114,67,1975
Rebecca,115,65,1975
Caitriona,115,65,1975
Theresa,115,65,1975
Irene,115,65,1975
Eimear,119,64,1975
Rosemary,119,64,1975
Michele,121,63,1975
Marian,122,61,1975
Grace,123,59,1975
Eleanor,123,59,1975
Alice,125,58,1975
Janet,125,58,1975
Julia,127,56,1975
Nessa,127,56,1975
Miriam,127,56,1975
Regina,127,56,1975
Maureen,127,56,1975
Rose,132,55,1975
Donna,132,55,1975
Stephanie,134,54,1975
Veronica,134,54,1975
Sylvia,134,54,1975
Avril,137,53,1975
Noelle,137,53,1975
Antoinette,137,53,1975
Janice,137,53,1975
Melanie,141,52,1975
Hilary,142,51,1975
Philomena,142,51,1975
Therese,142,51,1975
Nuala,145,50,1975
Cliona,146,49,1975
Emily,147,48,1975
Aideen,147,48,1975
Wendy,147,48,1975
Monica,150,46,1975
Jacinta,151,45,1975
Lesley,151,45,1975
Katherine,153,44,1975
Johanna,153,44,1975
Marion,153,44,1975
Imelda,153,44,1975
Celine,157,42,1975
Rosaleen,157,42,1975
Loraine,159,41,1975
Joanna,160,40,1975
Diane,160,40,1975
Vivienne,160,40,1975
Ursula,160,40,1975
Rita,164,39,1975
Melissa,165,38,1975
Fionnuala,165,38,1975
Lynda,167,37,1975
Gemma,168,36,1975
Natalie,168,36,1975
Brid,170,35,1975
Dawn,170,35,1975
Maura,170,35,1975
Nichola,170,35,1975
Martha,174,34,1975
Sheena,174,34,1975
Winifred,176,32,1975
Norma,176,32,1975
Susanne,176,32,1975
Dolores,179,31,1975
Amy,180,30,1975
Kim,181,29,1975
Sara,182,28,1975
Cora,182,28,1975
Olga,182,28,1975
Judith,182,28,1975
Breda,182,28,1975
Tina,182,28,1975
Marguerite,182,28,1975
Noeleen,182,28,1975
Lucy,190,27,1975
Sally,190,27,1975
Dorothy,190,27,1975
Sonia,190,27,1975
Marcella,190,27,1975
Jessica,195,26,1975
Sorcha,195,26,1975
Kathryn,195,26,1975
June,195,26,1975
Charlotte,199,25,1975
Clara,199,25,1975
Maire,199,25,1975
Adrienne,199,25,1975
Eithne,199,25,1975
Gail,204,24,1975
Leona,205,23,1975
Rachael,205,23,1975
Madeline,205,23,1975
Joyce,205,23,1975
Fidelma,205,23,1975
Finola,205,23,1975
Naomi,211,22,1975
Eilish,211,22,1975
Serena,211,22,1975
Jillian,211,22,1975
Allison,211,22,1975
Dympna,211,22,1975
Siobhain,211,22,1975
Eva,218,21,1975
Adele,218,21,1975
Belinda,220,20,1975
Hannah,221,19,1975
Cara,221,19,1975
Esther,221,19,1975
Katrina,221,19,1975
Vivian,221,19,1975
Catherina,221,19,1975
Ita,221,19,1975
Heather,228,18,1975
Karina,228,18,1975
Cathriona,228,18,1975
Loretta,228,18,1975
Ailish,232,17,1975
Kerry,232,17,1975
Leonie,232,17,1975
Agnes,232,17,1975
Carolyn,232,17,1975
Thelma,232,17,1975
Neasa,238,16,1975
Rosemarie,238,16,1975
Liza,238,16,1975
Oonagh,238,16,1975
Glenda,238,16,1975
Nicole,243,15,1975
Orlaith,243,15,1975
Stella,243,15,1975
Genevieve,243,15,1975
Norah,243,15,1975
Ingrid,243,15,1975
Rhona,243,15,1975
Clair,243,15,1975
Hilda,243,15,1975
Eadaoin,252,14,1975
Diana,252,14,1975
Cathy,252,14,1975
Robin,252,14,1975
Florence,252,14,1975
Moira,252,14,1975
Susanna,252,14,1975
Collette,252,14,1975
Doreen,252,14,1975
Rhoda,252,14,1975
Caoimhe,262,13,1975
Shauna,262,13,1975
Eve,262,13,1975
Carla,262,13,1975
Jill,262,13,1975
Eilis,262,13,1975
Arlene,262,13,1975
Claudine,262,13,1975
Gwendoline,262,13,1975
Janette,262,13,1975
Tania,262,13,1975
Corinna,262,13,1975
Leah,274,12,1975
Alexandra,274,12,1975
Shona,274,12,1975
Cliodhna,274,12,1975
Juliet,274,12,1975
Lilian,274,12,1975
Marianne,274,12,1975
Rhonda,274,12,1975
Abigail,282,11,1975
Muireann,282,11,1975
Kelly,282,11,1975
Claudia,282,11,1975
Nina,282,11,1975
Aishling,282,11,1975
Heidi,282,11,1975
Angelina,282,11,1975
Orna,282,11,1975
Marina,282,11,1975
Cheryl,282,11,1975
Edwina,282,11,1975
Gayle,282,11,1975
Rowena,282,11,1975
Joann,282,11,1975
Zoe,297,10,1975
Lena,297,10,1975
Anastasia,297,10,1975
Mandy,297,10,1975
Debra,297,10,1975
Ethel,297,10,1975
Jeanette,297,10,1975
Lynne,297,10,1975
Nollaig,297,10,1975
Patrice,297,10,1975
Triona,297,10,1975
Ailbhe,308,9,1975
Erica,308,9,1975
Simone,308,9,1975
Louisa,308,9,1975
Pearl,308,9,1975
Olwyn,308,9,1975
Alma,308,9,1975
Roberta,308,9,1975
Concepta,308,9,1975
Corina,308,9,1975
Muriel,308,9,1975
Yvette,308,9,1975
Richella,308,9,1975
Kara,321,8,1975
Joy,321,8,1975
Jenny,321,8,1975
Judy,321,8,1975
Cait,321,8,1975
Gina,321,8,1975
Rosanna,321,8,1975
Brona,321,8,1975
Cecelia,321,8,1975
Cecilia,321,8,1975
Camilla,321,8,1975
Bairbre,321,8,1975
Darina,321,8,1975
Eavan,321,8,1975
Leonora,321,8,1975
Lynsey,321,8,1975
Marjorie,321,8,1975
Sheelagh,321,8,1975
Sonja,321,8,1975
Vera,321,8,1975
Corrina,321,8,1975
Gobnait,321,8,1975
Sophia,343,7,1975
Isabel,343,7,1975
Lara,343,7,1975
Alicia,343,7,1975
Lucia,343,7,1975
Dearbhla,343,7,1975
Nadine,343,7,1975
Kiera,343,7,1975
Blaithin,343,7,1975
Julianne,343,7,1975
Tammy,343,7,1975
Derval,343,7,1975
Honor,343,7,1975
Bernice,343,7,1975
Celia,343,7,1975
Ide,343,7,1975
Maxine,343,7,1975
Treasa,343,7,1975
Abina,343,7,1975
Carina,343,7,1975
Dionne,343,7,1975
Jenifer,343,7,1975
Leigh,343,7,1975
Mairin,343,7,1975
Priscilla,343,7,1975
Roseanne,343,7,1975
Trudy,343,7,1975
Zita,343,7,1975
Breege,343,7,1975
Cathrina,343,7,1975
Emir,343,7,1975
Evonne,343,7,1975
Glencora,343,7,1975
Gwendolyn,343,7,1975
Phyllis,343,7,1975
Treacy,343,7,1975
Isabella,379,6,1975
Aoibheann,379,6,1975
Bronagh,379,6,1975
Aislinn,379,6,1975
Erika,379,6,1975
Madeleine,379,6,1975
Gloria,379,6,1975
Karla,379,6,1975
Ceara,379,6,1975
Celina,379,6,1975
Edith,379,6,1975
Hanora,379,6,1975
Blanaid,379,6,1975
Breeda,379,6,1975
Charmaine,379,6,1975
Dervilla,379,6,1975
Dianne,379,6,1975
Gertrude,379,6,1975
Gretta,379,6,1975
Jacintha,379,6,1975
Jo,379,6,1975
Kathy,379,6,1975
Marilyn,379,6,1975
Naoimh,379,6,1975
Olwen,379,6,1975
Trina,379,6,1975
Lourda,379,6,1975
Kate,406,5,1975
Annie,406,5,1975
Leanne,406,5,1975
Kirsten,406,5,1975
Caragh,406,5,1975
Blathnaid,406,5,1975
Orlagh,406,5,1975
Kerrie,406,5,1975
Bronwyn,406,5,1975
Aoileann,406,5,1975
Eanna,406,5,1975
Delia,406,5,1975
Dervla,406,5,1975
Gwen,406,5,1975
Penelope,406,5,1975
Ailis,406,5,1975
Dearbhail,406,5,1975
Lavinia,406,5,1975
Bridie,406,5,1975
Felicity,406,5,1975
Vicky,406,5,1975
Violet,406,5,1975
Anthea,406,5,1975
Assumpta,406,5,1975
Averil,406,5,1975
Brighid,406,5,1975
Carole,406,5,1975
Debbie,406,5,1975
Ida,406,5,1975
Janine,406,5,1975
Jeanne,406,5,1975
Jennie,406,5,1975
Katriona,406,5,1975
Margarita,406,5,1975
Melinda,406,5,1975
Nathalie,406,5,1975
Noleen,406,5,1975
Rena,406,5,1975
Roslyn,406,5,1975
Shelley,406,5,1975
Tonia,406,5,1975
Virginia,406,5,1975
Breid,406,5,1975
Janis,406,5,1975
Johanne,406,5,1975
Katherina,406,5,1975
Marlyn,406,5,1975
Nodlaig,406,5,1975
Petrina,406,5,1975
Amelia,455,4,1975
Amber,455,4,1975
Michaela,455,4,1975
Danielle,455,4,1975
Doireann,455,4,1975
Naoise,455,4,1975
Lydia,455,4,1975
Lillian,455,4,1975
Tamara,455,4,1975
Iris,455,4,1975
Dana,455,4,1975
Larissa,455,4,1975
Antonia,455,4,1975
Sabina,455,4,1975
Selina,455,4,1975
Aifric,455,4,1975
Alexis,455,4,1975
Elva,455,4,1975
Estelle,455,4,1975
Vivien,455,4,1975
Adrianne,455,4,1975
Alyson,455,4,1975
Angelique,455,4,1975
Attracta,455,4,1975
Beverley,455,4,1975
Celene,455,4,1975
Doris,455,4,1975
Emmeline,455,4,1975
Fionnula,455,4,1975
Freda,455,4,1975
Honora,455,4,1975
Karan,455,4,1975
Karena,455,4,1975
Keara,455,4,1975
Lucille,455,4,1975
Lynette,455,4,1975
Miranda,455,4,1975
Monique,455,4,1975
Odette,455,4,1975
Paulette,455,4,1975
Rona,455,4,1975
Rosalind,455,4,1975
Rosario,455,4,1975
Thomasina,455,4,1975
Breedge,455,4,1975
Juanita,455,4,1975
Lavina,455,4,1975
Yolanda,455,4,1975
Sophie,503,3,1975
Chloe,503,3,1975
Erin,503,3,1975
Caitlin,503,3,1975
Zara,503,3,1975
Faye,503,3,1975
Laoise,503,3,1975
Gabrielle,503,3,1975
Moya,503,3,1975
Elena,503,3,1975
Hanna,503,3,1975
Lea,503,3,1975
Meadhbh,503,3,1975
Toni,503,3,1975
Rosa,503,3,1975
Sive,503,3,1975
Caoilfhionn,503,3,1975
Daniela,503,3,1975
Jayne,503,3,1975
Jessie,503,3,1975
Esme,503,3,1975
Klara,503,3,1975
Chiara,503,3,1975
Cynthia,503,3,1975
Selena,503,3,1975
Anya,503,3,1975
Harriet,503,3,1975
Annmarie,503,3,1975
Chantal,503,3,1975
Etain,503,3,1975
Marguerita,503,3,1975
Sile,503,3,1975
Angeline,503,3,1975
Bernardine,503,3,1975
Cathleen,503,3,1975
Cornelia,503,3,1975
Criona,503,3,1975
Edna,503,3,1975
Eibhlis,503,3,1975
Elma,503,3,1975
Ethna,503,3,1975
Kathrina,503,3,1975
Kelley,503,3,1975
Letitia,503,3,1975
Lindsay,503,3,1975
Lucinda,503,3,1975
Margurite,503,3,1975
Myra,503,3,1975
Nicolette,503,3,1975
Orfhlaith,503,3,1975
Philippa,503,3,1975
Silvia,503,3,1975
Siona,503,3,1975
Terri,503,3,1975
Verona,503,3,1975
Bridgeen,503,3,1975
Caithriona,503,3,1975
Caren,503,3,1975
Catrina,503,3,1975
Corona,503,3,1975
Dervilia,503,3,1975
Jeannette,503,3,1975
Kathriona,503,3,1975
Nickola,503,3,1975
Rosanne,503,3,1975
Sharleen,503,3,1975
Shena,503,3,1975
Susann,503,3,1975
Suzann,503,3,1975
Velma,503,3,1975
Vickey,503,3,1975
Wing,503,3,1975
Mary,1,1131,1976
Sinead,2,688,1976
Catherine,3,645,1976
Michelle,4,571,1976
Caroline,5,564,1976
Margaret,6,520,1976
Karen,7,514,1976
Jennifer,8,494,1976
Deirdre,9,483,1976
Fiona,10,452,1976
Ann,11,434,1976
Elizabeth,12,423,1976
Sharon,12,423,1976
Elaine,14,419,1976
Linda,15,401,1976
Niamh,16,390,1976
Sarah,17,383,1976
Lisa,18,382,1976
Anne,19,380,1976
Susan,20,371,1976
Louise,21,359,1976
Patricia,22,345,1976
Lorraine,23,343,1976
Olivia,24,329,1976
Nicola,24,329,1976
Siobhan,26,314,1976
Sandra,27,311,1976
Claire,28,307,1976
Marie,29,305,1976
Yvonne,30,288,1976
Martina,31,278,1976
Helen,32,271,1976
Gillian,33,267,1976
Joanne,34,258,1976
Orla,35,250,1976
Emma,36,248,1976
Denise,37,244,1976
Maria,38,238,1976
Bridget,39,226,1976
Rachel,40,214,1976
Ciara,41,211,1976
Laura,42,209,1976
Amanda,43,208,1976
Geraldine,44,206,1976
Deborah,45,198,1976
Aoife,46,186,1976
Suzanne,46,186,1976
Edel,48,185,1976
Aisling,49,182,1976
Carol,49,182,1976
Jacqueline,51,173,1976
Eileen,52,170,1976
Audrey,52,170,1976
Ruth,54,169,1976
Angela,55,168,1976
Bernadette,56,163,1976
Grainne,57,158,1976
Kathleen,58,151,1976
Paula,59,147,1976
Julie,60,144,1976
Carmel,61,142,1976
Tara,62,140,1976
Georgina,63,139,1976
Aine,64,138,1976
Clare,64,138,1976
Colette,66,137,1976
Barbara,67,133,1976
Mairead,68,132,1976
Anna,69,128,1976
Valerie,69,128,1976
Jane,71,126,1976
Teresa,71,126,1976
Alison,73,120,1976
Anita,74,118,1976
Josephine,75,112,1976
Tracey,75,112,1976
Pauline,77,111,1976
Nora,78,109,1976
Roisin,79,108,1976
Emer,80,107,1976
Christina,81,104,1976
Sheila,81,104,1976
Andrea,83,103,1976
Aileen,83,103,1976
Brenda,85,102,1976
Joan,86,101,1976
Shirley,86,101,1976
Olive,88,100,1976
Catriona,89,99,1976
Jean,90,96,1976
Ashling,91,93,1976
Ellen,92,88,1976
Frances,92,88,1976
Annette,92,88,1976
Hazel,95,87,1976
Samantha,96,86,1976
Tanya,96,86,1976
Eimear,98,85,1976
Victoria,99,84,1976
Melissa,100,83,1976
Helena,100,83,1976
Noreen,102,82,1976
Christine,103,81,1976
Natasha,104,80,1976
Tracy,104,80,1976
Rebecca,106,79,1976
Lorna,106,79,1976
Regina,108,77,1976
Una,109,76,1976
Stephanie,110,75,1976
Caitriona,111,73,1976
Pamela,112,72,1976
Clodagh,113,70,1976
Evelyn,113,70,1976
Veronica,113,70,1976
Miriam,116,69,1976
Donna,116,69,1976
Brigid,116,69,1976
Eleanor,119,68,1976
Antoinette,120,66,1976
Gemma,121,65,1976
Majella,121,65,1976
Imelda,123,64,1976
Theresa,124,63,1976
Lynn,125,62,1976
Marian,126,61,1976
Maureen,126,61,1976
Maeve,128,59,1976
Irene,128,59,1976
Janet,128,59,1976
Grace,131,58,1976
Vanessa,131,58,1976
Katherine,133,57,1976
Jacinta,134,55,1976
Wendy,134,55,1976
Rosemary,136,54,1976
Rose,137,53,1976
Emily,138,52,1976
Alice,138,52,1976
Rachael,138,52,1976
Natalie,138,52,1976
Dawn,138,52,1976
Noelle,138,52,1976
Sonya,138,52,1976
Joanna,145,51,1976
Julia,146,50,1976
Johanna,146,50,1976
Aideen,148,49,1976
Celine,148,49,1976
Avril,150,48,1976
Sylvia,150,48,1976
Diane,152,47,1976
Cliona,153,46,1976
Janice,153,46,1976
Hilary,155,45,1976
Breda,155,45,1976
Melanie,157,43,1976
Ursula,157,43,1976
Rosaleen,159,42,1976
Marcella,160,41,1976
Rita,161,39,1976
June,162,38,1976
Lynda,162,38,1976
Susanne,162,38,1976
Sara,165,37,1976
Marion,165,37,1976
Kim,167,36,1976
Olga,167,36,1976
Fionnuala,167,36,1976
Therese,167,36,1976
Lee,167,36,1976
Nuala,167,36,1976
Esther,173,35,1976
Kathryn,173,35,1976
Philomena,173,35,1976
Lucy,176,34,1976
Eilish,176,34,1976
Brid,176,34,1976
Charlotte,179,33,1976
Fidelma,179,33,1976
Michele,179,33,1976
Maura,182,32,1976
Sonia,182,32,1976
Lesley,182,32,1976
Amy,185,31,1976
Judith,185,31,1976
Adrienne,185,31,1976
Heather,188,30,1976
Maire,188,30,1976
Nichola,188,30,1976
Nessa,191,29,1976
Monica,191,29,1976
Rosemarie,191,29,1976
Cathriona,191,29,1976
Marguerite,191,29,1976
Martha,196,28,1976
Jill,196,28,1976
Gail,196,28,1976
Sally,199,27,1976
Vivienne,199,27,1976
Joyce,199,27,1976
Tina,199,27,1976
Norma,199,27,1976
Hannah,204,26,1976
Eva,204,26,1976
Glenda,204,26,1976
Aishling,207,25,1976
Oonagh,207,25,1976
Leona,209,24,1976
Sorcha,209,24,1976
Winifred,209,24,1976
Dympna,209,24,1976
Loraine,209,24,1976
Noeleen,209,24,1976
Eithne,215,23,1976
Belinda,215,23,1976
Madeline,217,22,1976
Marianne,217,22,1976
Siobhain,217,22,1976
Rhona,220,21,1976
Dolores,220,21,1976
Jessica,222,20,1976
Naomi,222,20,1976
Karina,222,20,1976
Adele,222,20,1976
Agnes,222,20,1976
Dorothy,222,20,1976
Janette,222,20,1976
Leah,229,19,1976
Sheena,229,19,1976
Norah,229,19,1976
Alma,229,19,1976
Vivian,229,19,1976
Hilda,229,19,1976
Jeanette,229,19,1976
Annie,236,18,1976
Carla,236,18,1976
Serena,236,18,1976
Edwina,236,18,1976
Ita,236,18,1976
Loretta,236,18,1976
Lynne,236,18,1976
Rhonda,236,18,1976
Clara,244,17,1976
Ailish,244,17,1976
Jillian,244,17,1976
Allison,244,17,1976
Caoimhe,248,16,1976
Danielle,248,16,1976
Genevieve,248,16,1976
Eilis,248,16,1976
Nicole,252,15,1976
Shauna,252,15,1976
Muireann,252,15,1976
Bronagh,252,15,1976
Joy,252,15,1976
Simone,252,15,1976
Katrina,252,15,1976
Antonia,252,15,1976
Erica,260,14,1976
Catherina,260,14,1976
Demelza,260,14,1976
Alexandra,263,13,1976
Cara,263,13,1976
Ashley,263,13,1976
Ingrid,263,13,1976
Carolyn,263,13,1976
Triona,263,13,1976
Trudy,263,13,1976
Joann,263,13,1976
Kate,271,12,1976
Abigail,271,12,1976
Nadine,271,12,1976
Kerry,271,12,1976
Cathy,271,12,1976
Marina,271,12,1976
Gwen,271,12,1976
Treasa,271,12,1976
Claudine,271,12,1976
Doreen,271,12,1976
Gwendoline,271,12,1976
Kathy,271,12,1976
Leigh,271,12,1976
Zoe,284,11,1976
Shona,284,11,1976
Neasa,284,11,1976
Leonie,284,11,1976
Selena,284,11,1976
Derval,284,11,1976
Gina,284,11,1976
Lavinia,284,11,1976
Bernice,284,11,1976
Florence,284,11,1976
Darina,284,11,1976
Jeanne,284,11,1976
Lynsey,284,11,1976
Patrice,284,11,1976
Kelly,298,10,1976
Claudia,298,10,1976
Dearbhla,298,10,1976
Louisa,298,10,1976
Pearl,298,10,1976
Lilian,298,10,1976
Mandy,298,10,1976
Moira,298,10,1976
Clair,298,10,1976
Debra,298,10,1976
Ethna,298,10,1976
Rosalind,298,10,1976
Rosarie,298,10,1976
Rowena,298,10,1976
Ailbhe,312,9,1976
Diana,312,9,1976
Stella,312,9,1976
Kerrie,312,9,1976
Julianne,312,9,1976
Gloria,312,9,1976
Ide,312,9,1976
Sile,312,9,1976
Arlene,312,9,1976
Carole,312,9,1976
Collette,312,9,1976
Concepta,312,9,1976
Edelle,312,9,1976
Gayle,312,9,1976
Thelma,312,9,1976
Breege,312,9,1976
Terry,312,9,1976
Orlaith,329,8,1976
Isobel,329,8,1976
Lara,329,8,1976
Gabrielle,329,8,1976
Lena,329,8,1976
Nina,329,8,1976
Kirsten,329,8,1976
Erika,329,8,1976
Francesca,329,8,1976
Sabina,329,8,1976
Selina,329,8,1976
Cecilia,329,8,1976
Hanora,329,8,1976
Liza,329,8,1976
Virginia,329,8,1976
Eve,344,7,1976
Cliodhna,344,7,1976
Iseult,344,7,1976
Eanna,344,7,1976
Judy,344,7,1976
Davina,344,7,1976
Rosanna,344,7,1976
Eibhlin,344,7,1976
Anthea,344,7,1976
Bairbre,344,7,1976
Finola,344,7,1976
Nollaig,344,7,1976
Rhoda,344,7,1976
Trina,344,7,1976
Evonne,344,7,1976
Mellissa,344,7,1976
Sophia,360,6,1976
Zara,360,6,1976
Alicia,360,6,1976
Doireann,360,6,1976
Eadaoin,360,6,1976
Lea,360,6,1976
Kara,360,6,1976
Carrie,360,6,1976
Blaithin,360,6,1976
Orlagh,360,6,1976
Caoilfhionn,360,6,1976
Anastasia,360,6,1976
Elisa,360,6,1976
Cynthia,360,6,1976
Ceara,360,6,1976
Dervla,360,6,1976
Lindsey,360,6,1976
Roberta,360,6,1976
Susanna,360,6,1976
Averil,360,6,1976
Breeda,360,6,1976
Corina,360,6,1976
Dianne,360,6,1976
Gertrude,360,6,1976
Jacintha,360,6,1976
Karena,360,6,1976
Lindsay,360,6,1976
Melinda,360,6,1976
Olwen,360,6,1976
Sheelagh,360,6,1976
Corinna,360,6,1976
Johanne,360,6,1976
Holly,392,5,1976
Meabh,392,5,1976
Laoise,392,5,1976
Leanne,392,5,1976
Cora,392,5,1976
Riona,392,5,1976
Caragh,392,5,1976
Jemma,392,5,1976
Marissa,392,5,1976
Tammy,392,5,1976
Cait,392,5,1976
Delia,392,5,1976
Olwyn,392,5,1976
Penelope,392,5,1976
Alexis,392,5,1976
Lyndsey,392,5,1976
Bridie,392,5,1976
Adeline,392,5,1976
Adrianne,392,5,1976
Assumpta,392,5,1976
Celene,392,5,1976
Debbie,392,5,1976
Doris,392,5,1976
Jo,392,5,1976
Kathrina,392,5,1976
Lucinda,392,5,1976
Priscilla,392,5,1976
Roseanne,392,5,1976
Roslyn,392,5,1976
Tania,392,5,1976
Thomasina,392,5,1976
Vera,392,5,1976
Verona,392,5,1976
Vicki,392,5,1976
Yvette,392,5,1976
Corrina,392,5,1976
Fionuala,392,5,1976
Sophie,429,4,1976
Amelia,429,4,1976
Amber,429,4,1976
Sadhbh,429,4,1976
Keira,429,4,1976
Lucia,429,4,1976
Elena,429,4,1976
Juliette,429,4,1976
Heidi,429,4,1976
Aislinn,429,4,1976
Beatrice,429,4,1976
Toni,429,4,1976
Angelina,429,4,1976
Madeleine,429,4,1976
Kiara,429,4,1976
Nancy,429,4,1976
Lillian,429,4,1976
Jayne,429,4,1976
Renee,429,4,1976
Cassandra,429,4,1976
Chiara,429,4,1976
Julieanne,429,4,1976
Kirsty,429,4,1976
Bebhinn,429,4,1976
Brona,429,4,1976
Dearbhail,429,4,1976
Adelaide,429,4,1976
Celia,429,4,1976
Dearbhaile,429,4,1976
Vicky,429,4,1976
Violet,429,4,1976
Vivien,429,4,1976
Abina,429,4,1976
Aoifa,429,4,1976
Cheryl,429,4,1976
Coleen,429,4,1976
Dervilla,429,4,1976
Dymphna,429,4,1976
Edna,429,4,1976
Finnuala,429,4,1976
Gerardine,429,4,1976
Gladys,429,4,1976
Hillary,429,4,1976
Karin,429,4,1976
Karyn,429,4,1976
Katriona,429,4,1976
Lyndsay,429,4,1976
Lynette,429,4,1976
Marilyn,429,4,1976
Martine,429,4,1976
Melaine,429,4,1976
Mellisa,429,4,1976
Miranda,429,4,1976
Muriel,429,4,1976
Naoimh,429,4,1976
Rona,429,4,1976
Anette,429,4,1976
Bernadine,429,4,1976
Catrina,429,4,1976
Gwendolyn,429,4,1976
Katharina,429,4,1976
Katherina,429,4,1976
Leone,429,4,1976
Marsha,429,4,1976
Nodlaig,429,4,1976
Patrina,429,4,1976
Treacy,429,4,1976
Venessa,429,4,1976
Chloe,497,3,1976
Megan,497,3,1976
Caitlin,497,3,1976
Isabel,497,3,1976
Shannon,497,3,1976
Isabella,497,3,1976
Michaela,497,3,1976
Alanna,497,3,1976
Moya,497,3,1976
Lydia,497,3,1976
Sasha,497,3,1976
Hanna,497,3,1976
Blathnaid,497,3,1976
Juliet,497,3,1976
Sadie,497,3,1976
Sabrina,497,3,1976
Jenny,497,3,1976
Rebekah,497,3,1976
Nell,497,3,1976
Amie,497,3,1976
Colleen,497,3,1976
Iris,497,3,1976
Dana,497,3,1976
Larissa,497,3,1976
Carmen,497,3,1976
Honor,497,3,1976
May,497,3,1976
Annmarie,497,3,1976
Chantal,497,3,1976
Charlene,497,3,1976
Elva,497,3,1976
Camilla,497,3,1976
Felicity,497,3,1976
Jocelyn,497,3,1976
Melisa,497,3,1976
Suzanna,497,3,1976
Alaine,497,3,1976
Alyson,497,3,1976
Anastatia,497,3,1976
Angeline,497,3,1976
Beverley,497,3,1976
Blanaid,497,3,1976
Carina,497,3,1976
Crona,497,3,1976
Desiree,497,3,1976
Dionne,497,3,1976
Eimer,497,3,1976
Elenor,497,3,1976
Elma,497,3,1976
Ester,497,3,1976
Ethel,497,3,1976
Georgiana,497,3,1976
Hanoria,497,3,1976
Harriett,497,3,1976
Janine,497,3,1976
Jenifer,497,3,1976
Jolene,497,3,1976
Leonora,497,3,1976
Lianne,497,3,1976
Loretto,497,3,1976
Marcia,497,3,1976
Margaretta,497,3,1976
Margarita,497,3,1976
Margo,497,3,1976
Meave,497,3,1976
Mel,497,3,1976
Mona,497,3,1976
Philippa,497,3,1976
Rosalyn,497,3,1976
Rosario,497,3,1976
Roseann,497,3,1976
Tonia,497,3,1976
Annett,497,3,1976
Annita,497,3,1976
Arelene,497,3,1976
Barrie,497,3,1976
Breid,497,3,1976
Catraoine,497,3,1976
Dianna,497,3,1976
Dorothea,497,3,1976
Edele,497,3,1976
Eloisa,497,3,1976
Gilian,497,3,1976
Glencora,497,3,1976
Goretti,497,3,1976
Jan,497,3,1976
