name,address,county,ig_xcord,ig_ycord,shortname
Cahereen Care Centre,"Cahereen Care Centre, Codrum, Macroom, Co. Cork, Cork",Cork,131467.373065,73138.0202666,Cahereen
Cahermoyle House Nursing Home,"Cahermoyle House Nursing Home, Ardagh, Co. Limerick, Limerick",Limerick,127886.736639,138652.705753,Cahermoyle
Cairn Hill Nursing Home,"Cairn Hill Nursing Home, Westminster Road, Foxrock, Dublin 18, Dublin 18",Dublin,321820.634513,225899.486107,Cairn Hill 
Cairn Hill Nursing Home ,"Millers Wood Lodge, Herbert Road, Bray, Co. Wicklow",Wicklow,325392.438000497,217998.968996394,Cairn Hill 
Caiseal Geal Nursing Home,"Caiseal Geal Nursing Home, Castlegar, Galway City, Galway",Galway,132159.644318,228159.034364,Caiseal Geal 
Cara Care Centre,"Cara Care Centre, Northwood Park, Santry, Dublin 9, Dublin 9",Dublin,315818.800999,240622.456669,Cara
Cara House,"Cara House, Market Street, Skibbereen, Co Cork, Cork",Cork,112342.33,33542.247,Cara House
Carechoice Ballynoe,"Carechoice Ballynoe, White's Cross, Co. Cork, Cork",Cork,168820.161604,76788.5829662,Carechoice Ballynoe
Carechoice Clonakilty,"Carechoice Clonakilty, Clogheen, Clonakilty, Co. Cork, Cork",Cork,137347.36245,40941.5833784,Carechoice Clonakilty
Carechoice Dungarvan,"Carechoice Dungarvan, The Burgery, Dungarvan, Co. Waterford, Waterford",Waterford,260700.099358,112615.089649,Carechoice Dungarvan
Carechoice Macroom,"Carechoice Macroom, Gurteenroe, Macroom, Co. Cork, Cork",Cork,132880.058976,73201.3827872,Carechoice Macroom
Carechoice Montenotte,"Carechoice Montenotte, Middle Glanmire Road, Montenotte, Cork, Cork",Cork,169568.141825,72769.0398934,Carechoice Montenotte
Carlford Nursing Home,"Carlford Nursng Home, Cloughban, Clonroche, Enniscorthy, Co. Wexford Wexford",Wexford,286957.994697,134971.333648,Carlford 
Carlingford Nursing Home,"Carlingford Nursing Home, Old Dundalk Road, Carlingford, Co. Louth, Louth",Louth,319143.805089,310750.983835,Carlingford 
Carndonagh Community Hospital,"Carndonagh Community Hospital, Convent Road, Carndonagh, Co. Donegal, Donegal",Donegal,246965.154049,445169.887411,Carndonagh
Carrigoran House,"Carrigoran House, Newmarket-on-Fergus, Co. Clare, Clare",Clare,138537.267275,167108.456003,Carrigoran House
Carthage Nursing Home,"Carthage Nursing Home, Mucklagh, Tullamore, Co. Offaly, Offaly",Offaly,233873.873971,225170.421517,Carthage 
Carysfort Nursing Home,"Arkendale Road, Glenageary, Co. Dublin, A96w566",Dublin,325502.871605873,227197.127942593,Carysfort 
Castle Gardens Nursing Home,"Castle Gardens Nursing Home, Drumgoold, Enniscorthy, Wexford, Wexford",Wexford,299105.385568,138802.221843,Castle Gardens 
Castlecomer District Hospital,"Castlecomer District Hospital, Castlecomer, Co. Kilkenny, Kilkenny",Kilkenny,253251.810204,172957.500631,Castlecomer
Castlemanor Nursing Home,"Castlemanor Nursing Home, Billis, Drumalee, Co. Cavan, Cavan",Cavan,243072.592936,305693.370221,Castlemanor 
Castleross Nursing and Convelescent Centre,"Castleross Nursing and Convalescent Centre, Castleross, Carrickmacross, Co. Monaghan, Monaghan",Monaghan,267070.59239,333647.262855,Castleross 
Castletownbere Community Hospital,"Castsletownbere Community Hospital, Castletownbere, Co. Cork, Cork",Cork,67771.9065815,46498.3437024,Castletownbere
Castleturvin House Nursing Home,"Castleturvin House Nursing Home, Athenry, Co. Galway, Galway",Galway,149134.77366,225617.078047,Castleturvin House 
Catherine McAuley House,"Catherine McAuley House, Old Dominic Street, Limerick, Limerick",Limerick,157641.361959,156711.141507,Catherine McAuley House
Catherine McAuley House,"Catherine McAuley House, Beaumont Woods, Beaumont, Dublin 9, Dublin 9",Dublin,317800.445592,238897.735337,Catherine McAuley House
Cedar House Nursing Home,"Cedar House, 35 Mount Anville Park, Dublin 14, D14f240",Dublin,318606.234598944,228367.810942117,Cedar House 
Central Park Nursing Home,"Central Park Nursing Home, Clonberne, Ballinasloe, Co. Galway, Galway",Galway,157179.780324,256722.923353,Central Park 
Cherry Grove Nursing Home,"Cherry Grove Nursing Home, Priesthaggard, Campile, New Ross, Co. Wexford  Wexford",Wexford,270261.267535,117633.586677,Cherry Grove 
Cherry Orchard Hospital,"Cherry Orchard Hospital, Ballyfermot, Dublin 10, Dublin 10",Dublin,309253.371211,234096.365133,Cherry Orchard Hospital
Cherryfield Lodge Nursing Home,"Milltown Park, Dublin 6",Dublin,316860.502573276,231112.900551445,Cherryfield Lodge 
Cherryfield Nursing Home,"Cherryfield Nursing Home, Ballygarret, Gorey, Co. Wexford, Wexford",Wexford,320310.322221,148536.410948,Cherryfield 
Cherryfields Housing with Care,"Cherryfields Housing with Care, 2D Cherryfields Lawn, Hartstown, Clonsilla, Dublin 15 Co. Dublin",Dublin,305064.844,239212.047,Cherryfields Housing with Care
Churchview Nursing Home,"Churchview Nursing Home, 59/61 New Cabra Road, Phibsboro, Dublin 7, Dublin 7",Dublin,314451.211042,235878.406095,Churchview 
Clarehaven Home,"Clarehaven Home, St. Canice's Road, Glasnevin, Dublin 11, Dublin 11",Dublin,315282.126283,238384.228019,Clarehaven Home
Claremount Nursing Home,"Claremount Nursing Home, Claremount, Claremorris, Co. Mayo, Mayo",Mayo,134517.635144,276203.546073,Claremount 
Cloghran Nursing Home,"Cloghran Nursing Home, Stockhole Lane, Cloghran, Co Dublin, Co. Dublin",Dublin,318793.031,242854.141,Cloghran 
Clonakilty Community Hospital,"Clonakilty Community Hospital, Clonakilty, Co. Cork, Cork",Cork,138743.308993,41558.4209834,Clonakilty Community Hospital
Clonskeagh Hospital,"Clonskeagh Hospital, Clonskeagh Road, Dublin 6, Dublin 6",Dublin,317299.781732,230936.050054,Clonskeagh Hospital
Clontarf Private Nursing Home,"Clontarf Private Nursing Home, 5 - 7 Clontarf Road, Clontarf, Dublin 3, Dublin 3",Dublin,318881.833377,236035.66329,Clontarf Private 
Clover Lodge Nursing Home Shinrone ,"Main Street, Shinrone, Birr, Co. Offaly, R42ea34",Offaly,205039.188480774,192509.03090409,Clover Lodge 
Cloverlodge Nursing Home Athy,"Moneen Lane, Athy, Co. Kildare, R14dd43",Kildare,268398.46954679,194557.31290956,Cloverlodge 
Cluain Arann Welfare Home,"Cluain Arann Welfare Home, Avondale Crescent, Tipperary Town, Tipperary, Tipperary",Tipperary,189426.491662,136102.442002,Cluain Arann Welfare Home
Cluain Lir Community Nursing Unit,"Cluain Lir Community Nursing Unit, Longford Road, Mullingar, Westmeath, Westmeath",Westmeath,243215.281,253904.984,Cluain Lir Community 
Cobh Community Hospital,"Cobh Community Hospital, Cobh, Co. Cork, Cork",Cork,179419.483961,66968.9450955,Cobh Community Hospital
Cois Abhainn Residential Centre,"Cois Abhainn Residential Centre, Greencloyne, Youghal, Co. Cork, Cork",Cork,209608.312027,78807.6358731,Cois Abhainn Residential Centre
College View Nursing Home,"College View Nursing Home, Clones Road, Cavan, Co. Cavan, Cavan",Cavan,241834.185127,304557.453737,College View 
Community Hospital New Ross,"Community Hospital, Hospital Road, New Ross, Co. Wexford, Wexford",Wexford,272276.551994,126928.224122,Community Hospital New Ross
Community Hospital of the Assumption,"Community Hospital of the Assumption, Thurles, Co. Tipperary, Tipperary",Tipperary,211893.816748,159415.213149,Community Hospital of the Assumption
Community Nursing Unit Abbeyleix,"Community Nursing Unit Abbeyleix, Abbeyleix, Co. Laois, Laois",Laois,243777.942688,184902.546711,Community 
Community Nursing Unit Ballymote,"Community Nursing Unit, Ballymote, Co. Sligo, Sligo",Sligo,166234.096456,315689.500809,Community 
Community Nursing Unit Edenderry,"Edenderry Community Nursing Unit, St. Mary's Road, Edenderry, Co. Offaly, Offaly",Offaly,262942.260186,232806.726802,Community 
Conna Nursing Home,"Conna Nursing Home, Conna, Mallow, Co. Cork, Cork",Cork,192705.806086,93461.6720557,Conna 
Connolly Hospital (Silver Birch & Woodland Units),"Connolly Hospital  (Silver Birch & Woodland Units), Blanchardstown, Dublin 15, Dublin 15",Dublin,308444.742195,239331.548898,Connolly Hospital (Silver Birch & Woodland Units)
Coral Haven Residential Nursing Home,"Coral Haven Nursing Home, Headford Road, Galway, Galway",Galway,130940.787615,228018.830097,Coral Haven Residential 
Corbally House Nursing Home,"Corbally House Nursing Home, Mill Road, Corbally, Limerick, Limerick",Limerick,157967.659317,159758.080907,Corbally House 
Corpus Christi Nursing Home,"Corpus Christi Nursing Home, Brigown, Mitchelstown, Co. Cork, Cork",Cork,181687.336372,112307.017908,Corpus Christi 
Corrandulla Nursing Home,"Corrandulla Nursing Home, Corandulla, Galway, Co. Galway, Galway",Galway,133720.090492,239045.420286,Corrandulla 
Costello's Care Centre,"Costello's Care Centre, Lanesboro Road, Ballyleague, Co. Roscommon, Roscommon",Roscommon,180399.966345,271456.851513,Costello's Care Centre
Cottage Hospital,"Drogheda Services for the Elderly, Cottage Hospital, Scarlet Street, Drogheda, Co. Louth Louth",Louth,309160.920018,275634.678566,Cottage Hospital
Cottage Nursing Home,"Cottage Nursing Home, Irishtown, Clonmel, Tipperary, Tipperary",Tipperary,219728.807486,122291.340756,Cottage 
Craddock House,"Craddockstown House, Cradockstown Demesne, Naas, Co. Kildare, W91a991",Kildare,290736.500570153,217560.57793321,Craddock House
Cramers Court Nursing Home,"Cramer's Court Nursing Home, Belgooly, Kinsale, Co. Cork, Cork",Cork,166821.434355,53813.9587043,Cramers Court 
Cuan Chaitriona Nursing Home,"Cuan Chaitriona Nursing Home, The Lawn, Castlebar, Co. Mayo, Mayo",Mayo,115072.696547,290145.702387,Cuan Chaitriona 
Cuil Didin,"Cuil Didin, Skahanagh, Tralee, Co. Kerry, Kerry",Kerry,84577.9938443,111822.374703,Cuil Didin
Curragh Lawn Nursing Home,"Curragh Lawn Nursing Home, Kinneagh, Curragh, Co. Kildare, Kildare",Kildare,281640.111503,210974.481571,Curragh Lawn 
D'Alton Community Nursing Unit,"D'Alton Community Nursing Unit, Claremorris, Co. Mayo, Mayo",Mayo,134216.308757,275330.665887,D'Alton Community 
Dalkey Community Unit for Older Persons,"Dalkey Community Unit for Older Persons, Kilbegnet Close, Dalkey, Co. Dublin, Co. Dublin",Dublin,326295.478592,226915.806073,Dalkey Community Unit for Older Persons
Dalkey Lodge Nursing Home,"Dalkey Lodge Nursing Home, Ardbrugh Road, Dalkey, Co. Dublin, Co. Dublin",Dublin,326040.176244,226223.17985,Dalkey Lodge 
Dargle Valley Nursing Home,"Dargle Hill, Enniskerry, Co. Wicklow, A98n478",Wicklow,324185.969603699,217077.812933363,Dargle Valley 
Darraglynn Nursing Home,"Darraglynn Nursing Home, Carrigaline Road, Douglas, Cork, Cork",Cork,170611.744533,68293.5974933,Darraglynn 
Dealgan House Nursing Home,"Dealgan House Nursing Home, Toberona, Dundalk, Co. Louth, Louth",Louth,302921.998478,309099.514624,Dealgan House 
Dean Maxwell Community Nursing Unit,"Dean Maxwell Community Nursing Unit, The Valley, Roscrea, Co. Tipperary, Tipperary",Tipperary,213828.137759,189498.612325,Dean Maxwell Community 
Deerpark House,"Deerpark House Nursing Home, Seafield, Bantry, Co. Cork, Cork",Cork,99032.4587352,48376.7329481,Deerpark House
Deerpark Nursing Home,"Deerpark Nursing Home, Deerpark, Lattin, Co. Tipperary, Tipperary",Tipperary,183543.266171,135622.389113,Deerpark 
Donore Nursing Home,"13 Sidmonton Road, Bray, Co. Wicklow, A98h336",Wicklow,326828.028607179,218201.686926034,Donore 
Douglas Nursing and Retirement Home,"Douglas Nursing and Retirement Home, Moneygourney, Douglas, Cork, Cork",Cork,172340.52725,67680.7942011,Douglas 
Drakelands House Nursing Home,"Drakelands House Nursing Home, Drakelands, Kilkenny, Kilkenny",Kilkenny,248492.057589,155472.002871,Drakelands House 
Droimnin Nursing Home,"Droimnin Nursing Home, Brockley Park, Stradbally, Laois, Laois",Laois,257283.549647,196249.825422,Droimnin 
Drumbear Lodge Nursing Home,"Drumbear Lodge Nursing Home, Cootehill Road, Monaghan, Monaghan",Monaghan,264319.86195,319018.280222,Drumbear Lodge 
Drumderrig House,"Drumderrig House, Abbeytown, Boyle, Co. Roscommon, Roscommon",Roscommon,181356.754017,302969.8895,Drumderrig House
Dunabbey House,"Dunabbey House, Dungarvan Community Hospital, Dungarvan, Co. Waterford, Waterford",Waterford,260700.099358,112615.089649,Dunabbey House
Dungarvan Community Hospital,"Dungarvan, Waterford, Waterford",Waterford,227066.871142,96147.8239811,Dungarvan Community Hospital
Dunmanway Community Hospital,"Dunmanway Community Hospital, Dunmanway, Co. Cork, Cork",Cork,123117.371785,52746.37597,Dunmanway Community Hospital
"Earlsbrook House Nursing Home, ","41 Meath Road, Bray, Co. Wicklow, A98dh95",Wicklow,327030.826607101,218274.568932025,Earlsbrook House 
East Ferry House Nursing Home,"East Ferry House Nursing Home, East Ferry, Midleton, Co. Cork, Cork",Cork,185694.37707,67387.5829777,East Ferry House 
Eliza Lodge Nursing Home,"Eliza Lodge Nursing Home, Boheradurrow, Five Roads, Banagher, Co. Offaly Offaly",Offaly,200894.937475,215455.553378,Eliza Lodge 
Elm Green Nursing Home,"Elm Green Nursing Home, New Dunsink Lane, Castleknock, Dublin 15, Dublin 15",Dublin,309715.865597,238702.578693,Elm Green 
"Elm Grove Nursing Home, ","Elm Grove, Syngefield, Birr, Co. Offaly, R42py13",Offaly,206720.656482456,204958.468915797,Elm Grove 
Elm Hall Nursing Home,"Elmhall, Celbridge, Co. Kildare, W23p6ex",Kildare,298843.469579288,232812.155944308,Elm Hall 
Elmhurst Nursing Home,"Elmhurst Nursing Home, Hampstead Avenue, Glasnevin, Dublin 9, Dublin 9",Dublin,315685.98238,238223.063077,Elmhurst 
Ennis Nursing Home,"Ennis Nursing Home, Showgrounds Road, Drumbiggle, Ennis, Co. Clare Clare",Clare,132918.540883,176652.408901,Ennis 
Ennistymon Community Hospital,"Ennistymon Community Hospital, Dough, Ennistymon, Co. Clare, Clare",Clare,113460.025122,187900.387928,Ennistymon Community Hospital
Esker Lodge Nursing Home,"Esker Lodge Nursing Home, Esker Place, Cathedral Road, Cavan, Cavan",Cavan,241834.185127,304557.453737,Esker Lodge 
Esker Ri,"Esker Ri Nursing Home, Tullamore Road, Clara, Offaly",Offaly,233049.461585,225980.026721,Esker Ri
Eyrefield Manor Nursing Home,"Church Lane, Greystones, Co. Wicklow, A63kn63",Wicklow,329098.906608317,212442.265928811,Eyrefield Manor 
Fairfield Nursing Home,"Fairfield Nursing Home, Quarry Road, Drimoleague, Co. Cork, Cork",Cork,112874.427853,46142.6566175,Fairfield 
Fairlawns Nursing Home,"Fairlawns Private Nursing Home, Cavan Road, Baileboro, Co. Cavan, Cavan",Cavan,241834.185127,304557.453737,Fairlawns 
Fairview Community Unit,"Fairview Community Unit, Griffith Court, Fairview, Dublin 3, Dublin 3",Dublin,317073.132,236725.674,Fairview Community Unit
Falcarragh Communty Hospital,"Otharlann Phobail an FhÃ¡lcarraigh, Aonad Altranais an FhÃ¡lcarraigh, Baile Chonaill, An FÃ¡lcarrach, Co DhÃºn na nGall",Donegal,193470.295517712,432165.163422411,Falcarragh Communty Hospital
Farranlea House Community Nursing Unit,"Farranlea House CNU, Farranlea Road, Wilton, Cork, Cork",Cork,164537.581894,71156.6334832,Farranlea House Community 
Fearna Manor Nursing Home,"Fearna Manor Nursing Home, Tarmon Road, Castlerea, Co. Roscommon, Roscommon",Roscommon,168100.874248,280311.397242,Fearna Manor 
Fearna Nursing Home,"Fearna Nursing Home, Bishop Street, Elphin, Co. Roscommon, Roscommon",Roscommon,187417.281527,288877.400952,Fearna 
Fermoy Community Hospital,"Fermoy Community Hospital, Tallow Road, Fermoy, Co. Cork, Cork",Cork,182473.992453,98614.0135473,Fermoy Community Hospital
Ferndene Nursing Home Blackrock,"Ferndene Nursing Home Blackrock, Deansgrange Road, Blackrock, Co. Dublin",Dublin,322440.59,227064.359,Ferndene 
Fingal House Nursing Home,"Seatown West, Swords, Co. Dublin, K67ve44",Dublin,318471.852598978,247479.9459665,Fingal House 
First Care Blainroe Lodge,"Blainroe Lodge, Blainroe, Wicklow, A67vk52",Wicklow,332972.406611392,190110.577904167,First Care Blainroe Lodge
Flannery's Nursing Home,"Flannery's Nursing Home, Chapel Road, Abbeyknockmoy, Tuam, Co. Galway Galway",Galway,151778.325375,243495.790311,Flannery's 
Fold Ireland Anam Cara Housing with Care,"Fold Ireland Anam Cara Housing with Care, St Canice's Road, Glasnevin, Dublin 11, Co. Dublin",Dublin,314846.875,238249.016,Fold Ireland Anam Cara Housing with Care
Friars Lodge Nursing Home,"Friars Lodge Nursing Home, Convent Road, Ballinrobe, Co. Mayo, Mayo",Mayo,120036.66613,264498.627438,Friars Lodge 
Gahan House,"Gahan House, Graiguenamanagh, Co. Kilkenny, Kilkenny",Kilkenny,270855.409187,143858.127392,Gahan House
Gallen Priory Nursing Home,"Gallen Priory Nursing home, Main Street, Ferbane, Co. Offaly, Offaly",Offaly,211519.99023,224840.223629,Gallen Priory 
Garbally View Nursing Home,"Garbally View Nursing Home, Brackernagh, Ballinasloe, Co. Galway, Galway",Galway,184028.619481,230238.698931,Garbally View 
Gascoigne House Nursing Home,"Gasgoigne House, 37-39 Cowper Road, Dublin 6, D06hw18",Dublin,316134.531596316,231051.187940393,Gascoigne House 
Glanmire Residential Care Ltd.,"Glanmire Residential Care Ltd., Glyntown, Glanmire, Co. Cork, Cork",Cork,173337.197904,74700.2066551,Glanmire Residential Care Ltd.
Glebe Nursing Home,"Glebe Road, Enniskerry Road, Dublin 18, D18y201",Dublin,320051.813599885,222756.577934769,Glebe 
Glenashling Nursing Home,"Oldtown Road, Celbridge, Co. Kildare, W23x279",Kildare,296117.087576461,233506.979943326,Glenashling 
Glenaulin Nursing Home,"Glenaulin, Dublin 20, D20yt66",Dublin,309480.021589838,234903.524949001,Glenaulin 
Glencarrig Nursing Home,"Glencarrig Court, Dublin 24, D24kf29",Dublin,309973.266589969,226278.224940533,Glencarrig 
Glendale Nursing Home,"Glendare Nursing Home, Tullow, Co. Carlow, Carlow",Carlow,286998.405414,173392.052641,Glendale 
Glendonagh Residential Home,"Glendonagh Residential Home, Dungourney, Midleton, Co Cork, Cork",Cork,193498.307827,80711.6853153,Glendonagh Residential Home
Glengara Park Nursing Home,"Glenageary Road Lower, Glenageary, Co. Dublin, A96h242",Dublin,324612.714604919,227747.987945589,Glengara Park 
Good Counsel Nursing Home,"Good Counsel Nursing Home, Kilmallock Road, Limerick, Limerick",Limerick,158987.243226,156080.716129,Good Counsel 
Gormanston Wood Nursing Home,"Gormanston Wood Nursing Home, Gormanston, Co. Meath, Meath",Meath,317850.925864,266232.751943,Gormanston Wood 
Gowran Abbey Nursing Home,"Gowran Abbey Nursing Home, Gowran, Co. Kilkenny, Kilkenny",Kilkenny,263102.103852,153430.592004,Gowran Abbey 
Grange Con Nursing Home,"Grange Con Nursing Home, Coolatanavally, Carrigrohane, Co. Cork, Cork",Cork,157955.436705,74070.9978246,Grange Con 
Greenhill Nursing Home,"Greenhill Nursing Home, Waterford Road, Carrick-on-Suir, Tipperary, Tipperary",Tipperary,241056.997689,122282.623329,Greenhill 
Greenpark Nursing Home,"Greenpark Nursing Home, Tullinadaly Road, Tuam, Co. Galway, Galway",Galway,143418.890796,252628.597428,Greenpark 
Greystones Nursing Home,"Church Road, Greystones, Co. Wicklow, A63hk44",Wicklow,329320.094608889,212598.937926866,Greystones 
Griffeen Valley Nursing Home,"Esker Road, Lucan, Co. Dublin, K78v208",Dublin,303913.938584344,234336.280942775,Griffeen Valley 
Hamilton Park,"Hamilton Park, Baltrothery, Balbriggan, Co. Dublin, Co. Dublin Co. Dublin",Dublin,319951.514051,261253.883428,Hamilton Park
Harbour Lights Nursing Home,"Harbour Lights Nursing Home, Townasligo, Bruckless, Co. Donegal, Donegal",Donegal,172706.825614,377161.084938,Harbour Lights 
Harvey Nursing Home,"Harvey Nursing Home, 25 Upper Glenageary Road, Glenageary, Co. Dublin, Co. Dublin",Dublin,323764.296463,227452.865053,Harvey 
Harvey Nursing Home Terenure,"122 Terenure Road West, Dublin 6w, D6wpw58",Dublin,313446.934593591,230364.706945041,Harvey 
